Age,Gender,Speed_of_Impact,Age_Cat,Speed_Cat,Helmet_Used,Seatbelt_Used,Survived,Predicted,Correct,P_Survived,P_NotSurvived
56,Female,27,Senior (46-60),Low (≤50),No,No,1,0,False,0.004376757576841686,0.005131057961269345
69,Female,46,Old (>60),Low (≤50),No,Yes,1,1,True,0.0038169397472456556,0.00362594762596367
46,Male,46,Senior (46-60),Low (≤50),Yes,Yes,0,1,False,0.007134933122302337,0.004885801997909015
32,Male,117,Middle (31-45),High (>80),No,Yes,0,1,False,0.008436378401502354,0.005046977305196359
60,Female,40,Senior (46-60),Low (≤50),Yes,Yes,0,0,True,0.006997722869950369,0.007641895432626921
25,Male,49,Young (≤30),Low (≤50),Yes,Yes,1,0,False,0.004682299861510909,0.0056675303175744585
38,Male,116,Middle (31-45),High (>80),Yes,Yes,1,1,True,0.00966668358505478,0.006807550783753228
56,Male,47,Senior (46-60),Low (≤50),Yes,Yes,1,1,True,0.007134933122302337,0.004885801997909015
36,Female,83,Middle (31-45),High (>80),Yes,No,1,0,False,0.006794563173726004,0.009643206915737518
40,Female,116,Middle (31-45),High (>80),Yes,No,1,0,False,0.006794563173726004,0.009643206915737518
28,Female,88,Young (≤30),High (>80),No,Yes,1,0,False,0.005429904608178497,0.006937142853840216
28,Male,80,Young (≤30),Medium (51-80),Yes,Yes,1,1,True,0.004682299861510909,0.004408079135891245
41,Male,67,Middle (31-45),Medium (51-80),Yes,No,1,1,True,0.005113368737650009,0.0045428740086218165
53,Female,38,Senior (46-60),Low (≤50),Yes,Yes,1,0,False,0.006997722869950369,0.007641895432626921
57,Female,23,Senior (46-60),Low (≤50),No,Yes,0,1,False,0.00610710359559305,0.005665543165568235
41,Female,78,Middle (31-45),Medium (51-80),No,No,0,0,True,0.004376757576841686,0.005267886173569861
20,Female,83,Young (≤30),High (>80),Yes,Yes,0,0,True,0.006221765696871194,0.009357076407505407
39,Male,68,Middle (31-45),Medium (51-80),No,No,0,1,False,0.004462576352858189,0.0033679927994954848
19,Female,36,Young (≤30),Low (≤50),Yes,Yes,1,0,False,0.004592255633404929,0.00886459870184723
41,Male,45,Middle (31-45),Low (≤50),Yes,No,1,0,False,0.005113368737650009,0.005840838011085192
61,Female,111,Old (>60),High (>80),No,No,0,1,False,0.0037061253674869105,0.0034663147116130682
47,Male,49,Senior (46-60),Low (≤50),Yes,No,1,1,True,0.005113368737650009,0.0044248772811251455
55,Female,112,Senior (46-60),High (>80),No,Yes,0,1,False,0.008274140355319615,0.00598029556365536
19,Female,65,Young (≤30),Medium (51-80),No,No,1,0,False,0.002872247159802356,0.004629354516167453
38,Female,25,Middle (31-45),Low (≤50),Yes,Yes,0,0,True,0.006997722869950369,0.010087301971067537
50,Female,118,Senior (46-60),High (>80),Yes,Yes,1,1,True,0.009480785823803727,0.008066445178883974
29,Male,56,Young (≤30),Medium (51-80),No,Yes,1,1,True,0.0040863707882277025,0.003268058669712475
39,Female,43,Middle (31-45),Low (≤50),Yes,Yes,0,0,True,0.006997722869950369,0.010087301971067537
61,Male,112,Old (>60),High (>80),Yes,No,1,1,True,0.004329868689139119,0.002989250429915653
42,Male,97,Middle (31-45),High (>80),Yes,No,0,1,False,0.006927789902622592,0.006165329011701037
66,Unknown,72,Old (>60),Medium (51-80),No,Yes,0,0,True,7.48419558283462e-05,9.246496678231583e-05
44,Male,114,Middle (31-45),High (>80),No,Yes,0,1,False,0.008436378401502354,0.005046977305196359
59,Female,118,Senior (46-60),High (>80),Yes,No,0,0,True,0.006794563173726004,0.0073054597846496355
45,Male,79,Middle (31-45),Medium (51-80),No,Yes,1,1,True,0.006226850724918404,0.003718825382776265
